datetime,signal_vrp_z,signal_concavity_z,signal_skew_z,dte,entry_iv,spx_close,vrp_raw,concavity_raw,skew_raw,tp_pct,kelly_fraction
2019-01-17,0.0,0.0,0.0,29,0.1551,2615.99,0.012779,-0.01815,0.0852,50,0.015
2019-01-18,0.0,0.0,0.0,28,0.1455,2651.23,0.003741,-0.020275,0.0774,50,0.015
2019-01-22,0.0,0.0,0.0,28,0.1589,2642.28,0.018041,-0.019338,0.0783,50,0.015
2019-01-23,0.0,0.0,0.0,27,0.1692,2648.92,0.033599,-0.017175,0.0798,50,0.015
2019-01-24,0.0,0.0,0.0,26,0.1646,2642.48,0.030983,-0.016062,0.0737,50,0.015
2019-01-25,0.0,0.0,0.0,25,0.1517,2667.79,0.020708,-0.0152,0.0632,50,0.015
2019-01-28,0.0,0.0,0.0,25,0.1775,2630.49,0.032312,-0.015988,0.0755,50,0.015
2019-01-29,0.0,0.0,0.0,45,0.1764,2641.54,0.035497,-0.0136,0.0736,50,0.015
2019-01-30,0.0,0.0,0.0,44,0.174,2652.03,0.037043,-0.012937,0.0719,50,0.015
2019-01-31,0.0,0.0,0.0,43,0.158,2691.0,0.01879,-0.013412,0.0613,50,0.015
2019-02-01,0.0,0.0,0.0,42,0.1508,2712.46,0.026718,-0.016325,0.065,50,0.015
2019-02-04,0.0,0.0,0.0,39,0.1484,2705.32,0.027066,-0.015037,0.0623,50,0.015
2019-02-05,0.0,0.0,0.0,38,0.1413,2731.87,0.025521,-0.016712,0.0589,50,0.015
2019-02-06,0.0,0.0,0.0,37,0.1444,2725.7,0.030592,-0.015975,0.0614,50,0.015
2019-02-07,0.0,0.0,0.0,36,0.1477,2712.75,0.03195,-0.015162,0.0641,50,0.015
2019-02-08,0.0,0.0,0.0,35,0.1566,2687.28,0.036348,-0.0146,0.0704,50,0.015
2019-02-11,0.0,0.0,0.0,32,0.1458,2710.58,0.024191,-0.014412,0.0645,50,0.015
2019-02-12,0.0,0.0,0.0,31,0.1388,2732.74,0.016039,-0.01235,0.0572,50,0.015
2019-02-13,0.0,0.0,0.0,30,0.1382,2755.7,0.014151,-0.014375,0.0606,50,0.015
2019-02-14,0.0,0.0,0.0,29,0.1431,2742.47,0.018936,-0.014675,0.0646,50,0.015
2019-02-15,0.0,0.0,0.0,28,0.136,2767.08,0.011096,-0.013462,0.0577,50,0.015
2019-02-19,0.0,0.0,0.0,27,0.1315,2777.5,0.012888,-0.0145,0.0592,50,0.015
2019-02-20,0.0,0.0,0.0,26,0.1265,2779.01,0.009587,-0.013913,0.0573,50,0.015
2019-02-21,0.0,0.0,0.0,25,0.1317,2771.55,0.013333,-0.013313,0.0581,50,0.015
2019-02-22,0.0,0.0,0.0,26,0.1231,2785.13,0.005737,-0.011288,0.0547,50,0.015
2019-02-25,0.0,0.0,0.0,25,0.1213,2809.29,0.004595,-0.012125,0.0538,50,0.015
2019-02-26,0.0,0.0,0.0,27,0.1227,2797.37,0.020266,-0.0139,0.0616,50,0.015
2019-02-27,0.0,0.0,0.0,26,0.1334,2779.44,0.025697,-0.015187,0.0651,50,0.015
2019-02-28,0.0,0.0,0.0,25,0.1223,2787.0,0.014724,-0.0145,0.064,50,0.015
2019-03-01,0.0,0.0,0.0,26,0.116,2801.42,0.017689,-0.016462,0.0649,50,0.015
2019-03-04,0.0,0.0,0.0,45,0.1153,2811.04,0.019324,-0.01595,0.07,50,0.015
2019-03-05,0.0,0.0,0.0,44,0.127,2788.68,0.026007,-0.015625,0.0762,50,0.015
2019-03-06,0.0,0.0,0.0,43,0.1266,2784.38,0.029974,-0.014937,0.0751,50,0.015
2019-03-07,0.0,0.0,0.0,42,0.1444,2747.83,0.035857,-0.014875,0.079,50,0.015
2019-03-08,0.0,0.0,0.0,41,0.1541,2726.61,0.043177,-0.015963,0.0817,50,0.015
2019-03-11,0.0,0.0,0.0,38,0.1293,2763.5,0.015205,-0.012488,0.0675,50,0.015
2019-03-12,0.0,0.0,0.0,37,0.1196,2789.79,0.004767,-0.011412,0.0645,50,0.015
2019-03-13,0.0,0.0,0.0,36,0.1123,2806.96,-0.001193,-0.012487,0.0595,50,0.015
2019-03-14,0.0,0.0,0.0,35,0.1135,2804.78,0.002912,-0.012525,0.0586,50,0.015
